,name,meal-type,specific,net-carbs,Type,calories,Unit,serving,Ingredients,Nutrients,Method,Time,Difficulty,link
10,Smoked salmon with avocado and watercress,Lunch,High-Protien,2.0,High-protein Ketogenic, 408kcal,US,2,"[(['2 cups ', '(2½ oz.)'], ' watercress, thick stems removed or baby spinach'), (['11 oz.'], ' smoked salmon or deli turkey'), (['2 tbsp'], 'scallions'), (['1 tbsp'], ' finely chopped, fresh dill'), (['1 tbsp'], ' olive oil'), (['1 tsp'], ' finely chopped, fresh chives (optional)')]","{'Net-carbs': (' 2g ', '2%'), 'Protien': (' 31g ', '32%'), 'Fat': (' 28g ', '65%'), 'Fiber': '7g', 'Total-Carb': '9g'}","Arrange the watercress, avocado slices, and salmon on plates. Garnish with scallions, dill, and chives. To serve, drizzle with olive oil, mostly over the watercress.",10 m,Easy,https://www.dietdoctor.com/recipes/keto-smoked-salmon-with-avocado-and-watercress
11,Keto cauliflower hash browns,Breakfast,Dairy-Free,5.0,Ketogenic, 282kcal,US,4,"[(['1 lb'], ' cauliflower'), (['3'], 'eggs'), (['1 tsp'], ' salt'), (['2 pinches'], ' pepper'), (['4 oz.'], ' butter, for frying'), ('3', 'eggs', ' ')]","{'Net-carbs': (' 5g ', '7%'), 'Protien': (' 7g ', '10%'), 'Fat': (' 26g ', '84%'), 'Fiber': '3g', 'Total-Carb': '8g'}","Rinse, trim and grate the cauliflower using a food processor, or grater.,Add cauliflower to a large bowl. Add remaining ingredients and mix. Set aside for 5–10 minutes.,Preheat the oven on low heat. In a large, non-stick skillet over medium heat, melt a generous amount of the butter.,Place 3-4 scoops (1 scoop, per pancake) of the grated cauliflower mixture in the frying pan, and flatten them carefully until they measure about 3–4 inches (7.6-10 cm) in diameter.,Fry for 4–5 minutes per side, or until lightly browned. Transfer the first batches of pancakes to a baking dish, and place in the oven to keep warm, while making more batches. Add butter to the skillet when needed, and adjust the heat to prevent burning. (Remember — patience is a virtue — if you flip the pancakes too soon they may fall apart!)",40 m,Medium,https://www.dietdoctor.com/recipes/keto-cauliflower-hash-browns
12,Keto cauliflower hash browns,Breakfast,Vegetarian,5.0,Ketogenic, 282kcal,US,4,"[(['1 lb'], ' cauliflower'), (['3'], 'eggs'), (['1 tsp'], ' salt'), (['2 pinches'], ' pepper'), (['4 oz.'], ' butter, for frying'), ('3', 'eggs', ' ')]","{'Net-carbs': (' 5g ', '7%'), 'Protien': (' 7g ', '10%'), 'Fat': (' 26g ', '84%'), 'Fiber': '3g', 'Total-Carb': '8g'}","Rinse, trim and grate the cauliflower using a food processor, or grater.,Add cauliflower to a large bowl. Add remaining ingredients and mix. Set aside for 5–10 minutes.,Preheat the oven on low heat. In a large, non-stick skillet over medium heat, melt a generous amount of the butter.,Place 3-4 scoops (1 scoop, per pancake) of the grated cauliflower mixture in the frying pan, and flatten them carefully until they measure about 3–4 inches (7.6-10 cm) in diameter.,Fry for 4–5 minutes per side, or until lightly browned. Transfer the first batches of pancakes to a baking dish, and place in the oven to keep warm, while making more batches. Add butter to the skillet when needed, and adjust the heat to prevent burning. (Remember — patience is a virtue — if you flip the pancakes too soon they may fall apart!)",40 m,Medium,https://www.dietdoctor.com/recipes/keto-cauliflower-hash-browns
13,Turkey apple patties with kale,Breakfast,Dairy-Free,6.0,High-protein Ketogenic, 473kcal,US,2,"[(['¾ lb'], ' ground turkey'), (['½ tsp'], ' garlic powder'), (['½ tsp'], ' dried sage'), (['½ tsp'], ' paprika powder'), (['1 tbsp'], ' olive oil'), (['3 oz.'], ' kale, chopped or baby spinach'), (['2 tsp'], ' cider vinegar'), (['1 tbsp'], ' chia seeds'), (['1 tbsp'], ' sunflower seeds'), (['1 tbsp'], ' olive oil')]","{'Net-carbs': (' 6g ', '5%'), 'Protien': (' 35g ', '31%'), 'Fat': (' 33g ', '64%'), 'Fiber': '5g', 'Total-Carb': '11g'}","Mix the turkey meat, apples, and spices in a bowl. Form into patties, two per serving.,Fry the patties in a skillet for 4-5 minutes on each side, on medium-high heat until cooked through.,While the patties are cooking, mix the greens, seeds, vinegar, olive oil, and salt in a bowl. If you use tougher kale, like curly kale, you can tenderize the leaves by massaging the kale salad firmly with your hands.,Serve patties with the salad on the side.",5  + 10 m,Easy,https://www.dietdoctor.com/recipes/keto-turkey-apple-patties-with-kale
14,Turkey apple patties with kale,Breakfast,High-Protien,6.0,High-protein Ketogenic, 473kcal,US,2,"[(['¾ lb'], ' ground turkey'), (['½ tsp'], ' garlic powder'), (['½ tsp'], ' dried sage'), (['½ tsp'], ' paprika powder'), (['1 tbsp'], ' olive oil'), (['3 oz.'], ' kale, chopped or baby spinach'), (['2 tsp'], ' cider vinegar'), (['1 tbsp'], ' chia seeds'), (['1 tbsp'], ' sunflower seeds'), (['1 tbsp'], ' olive oil')]","{'Net-carbs': (' 6g ', '5%'), 'Protien': (' 35g ', '31%'), 'Fat': (' 33g ', '64%'), 'Fiber': '5g', 'Total-Carb': '11g'}","Mix the turkey meat, apples, and spices in a bowl. Form into patties, two per serving.,Fry the patties in a skillet for 4-5 minutes on each side, on medium-high heat until cooked through.,While the patties are cooking, mix the greens, seeds, vinegar, olive oil, and salt in a bowl. If you use tougher kale, like curly kale, you can tenderize the leaves by massaging the kale salad firmly with your hands.,Serve patties with the salad on the side.",5  + 10 m,Easy,https://www.dietdoctor.com/recipes/keto-turkey-apple-patties-with-kale
15,Turkey apple patties with kale,Lunch,Dairy-Free,6.0,High-protein Ketogenic, 473kcal,US,2,"[(['¾ lb'], ' ground turkey'), (['½ tsp'], ' garlic powder'), (['½ tsp'], ' dried sage'), (['½ tsp'], ' paprika powder'), (['1 tbsp'], ' olive oil'), (['3 oz.'], ' kale, chopped or baby spinach'), (['2 tsp'], ' cider vinegar'), (['1 tbsp'], ' chia seeds'), (['1 tbsp'], ' sunflower seeds'), (['1 tbsp'], ' olive oil')]","{'Net-carbs': (' 6g ', '5%'), 'Protien': (' 35g ', '31%'), 'Fat': (' 33g ', '64%'), 'Fiber': '5g', 'Total-Carb': '11g'}","Mix the turkey meat, apples, and spices in a bowl. Form into patties, two per serving.,Fry the patties in a skillet for 4-5 minutes on each side, on medium-high heat until cooked through.,While the patties are cooking, mix the greens, seeds, vinegar, olive oil, and salt in a bowl. If you use tougher kale, like curly kale, you can tenderize the leaves by massaging the kale salad firmly with your hands.,Serve patties with the salad on the side.",5  + 10 m,Easy,https://www.dietdoctor.com/recipes/keto-turkey-apple-patties-with-kale
16,Turkey apple patties with kale,Lunch,High-Protien,6.0,High-protein Ketogenic, 473kcal,US,2,"[(['¾ lb'], ' ground turkey'), (['½ tsp'], ' garlic powder'), (['½ tsp'], ' dried sage'), (['½ tsp'], ' paprika powder'), (['1 tbsp'], ' olive oil'), (['3 oz.'], ' kale, chopped or baby spinach'), (['2 tsp'], ' cider vinegar'), (['1 tbsp'], ' chia seeds'), (['1 tbsp'], ' sunflower seeds'), (['1 tbsp'], ' olive oil')]","{'Net-carbs': (' 6g ', '5%'), 'Protien': (' 35g ', '31%'), 'Fat': (' 33g ', '64%'), 'Fiber': '5g', 'Total-Carb': '11g'}","Mix the turkey meat, apples, and spices in a bowl. Form into patties, two per serving.,Fry the patties in a skillet for 4-5 minutes on each side, on medium-high heat until cooked through.,While the patties are cooking, mix the greens, seeds, vinegar, olive oil, and salt in a bowl. If you use tougher kale, like curly kale, you can tenderize the leaves by massaging the kale salad firmly with your hands.,Serve patties with the salad on the side.",5  + 10 m,Easy,https://www.dietdoctor.com/recipes/keto-turkey-apple-patties-with-kale
17,Turkey apple patties with kale,Dinner,Dairy-Free,6.0,High-protein Ketogenic, 473kcal,US,2,"[(['¾ lb'], ' ground turkey'), (['½ tsp'], ' garlic powder'), (['½ tsp'], ' dried sage'), (['½ tsp'], ' paprika powder'), (['1 tbsp'], ' olive oil'), (['3 oz.'], ' kale, chopped or baby spinach'), (['2 tsp'], ' cider vinegar'), (['1 tbsp'], ' chia seeds'), (['1 tbsp'], ' sunflower seeds'), (['1 tbsp'], ' olive oil')]","{'Net-carbs': (' 6g ', '5%'), 'Protien': (' 35g ', '31%'), 'Fat': (' 33g ', '64%'), 'Fiber': '5g', 'Total-Carb': '11g'}","Mix the turkey meat, apples, and spices in a bowl. Form into patties, two per serving.,Fry the patties in a skillet for 4-5 minutes on each side, on medium-high heat until cooked through.,While the patties are cooking, mix the greens, seeds, vinegar, olive oil, and salt in a bowl. If you use tougher kale, like curly kale, you can tenderize the leaves by massaging the kale salad firmly with your hands.,Serve patties with the salad on the side.",5  + 10 m,Easy,https://www.dietdoctor.com/recipes/keto-turkey-apple-patties-with-kale
18,Turkey apple patties with kale,Dinner,High-Protien,6.0,High-protein Ketogenic, 473kcal,US,2,"[(['¾ lb'], ' ground turkey'), (['½ tsp'], ' garlic powder'), (['½ tsp'], ' dried sage'), (['½ tsp'], ' paprika powder'), (['1 tbsp'], ' olive oil'), (['3 oz.'], ' kale, chopped or baby spinach'), (['2 tsp'], ' cider vinegar'), (['1 tbsp'], ' chia seeds'), (['1 tbsp'], ' sunflower seeds'), (['1 tbsp'], ' olive oil')]","{'Net-carbs': (' 6g ', '5%'), 'Protien': (' 35g ', '31%'), 'Fat': (' 33g ', '64%'), 'Fiber': '5g', 'Total-Carb': '11g'}","Mix the turkey meat, apples, and spices in a bowl. Form into patties, two per serving.,Fry the patties in a skillet for 4-5 minutes on each side, on medium-high heat until cooked through.,While the patties are cooking, mix the greens, seeds, vinegar, olive oil, and salt in a bowl. If you use tougher kale, like curly kale, you can tenderize the leaves by massaging the kale salad firmly with your hands.,Serve patties with the salad on the side.",5  + 10 m,Easy,https://www.dietdoctor.com/recipes/keto-turkey-apple-patties-with-kale
19,Keto egg and bacon casserole,Breakfast,Dairy-Free,2.0,High-protein Ketogenic, 482kcal,US,2,"[(['5 oz.'], ' bacon, diced, room temperature'), (['2 oz. ', '(2 cups)'], ' fresh spinach'), (['4'], 'large eggs, lightly beaten'), (['1 tbsp'], ' finely chopped, fresh chives (optional)'), (['¼ tsp'], ' salt'), (['1', '⁄', '8', ' tsp'], ' ground black pepper'), ('4', 'large eggs, lightly beaten', ' ')]","{'Net-carbs': (' 2g ', '2%'), 'Protien': (' 37g ', '32%'), 'Fat': (' 35g ', '66%'), 'Fiber': '1g', 'Total-Carb': '3g'}","Preheat oven to 400°F (200°C). Grease a 9""x13"" (23x33 cm) baking dish with butter or oil, and line a plate with paper towels. Set aside.,Add diced bacon to a cold frying pan or skillet. Place over medium heat, and cook for 10 minutes or until crispy, stirring occasionally. Using a slotted spoon, transfer the bacon to the paper towels, and reserve the bacon fat in the pan.,Sautée the spinach in the bacon fat for one minute, or until slightly wilted. Remove from heat.,In a medium-sized bowl, mix together the eggs, bacon, spinach (with bacon grease from the pan) chives, salt, and pepper.,Pour egg mixture into the baking dish(es) and bake on the middle oven rack for 10-15 minutes, or until lightly browned, and set.,Cool for a few minutes, slice and serve.",20 m,Medium,https://www.dietdoctor.com/recipes/keto-baked-bacon-omelet
20,Keto egg and bacon casserole,Breakfast,High-Protien,2.0,High-protein Ketogenic, 482kcal,US,2,"[(['5 oz.'], ' bacon, diced, room temperature'), (['2 oz. ', '(2 cups)'], ' fresh spinach'), (['4'], 'large eggs, lightly beaten'), (['1 tbsp'], ' finely chopped, fresh chives (optional)'), (['¼ tsp'], ' salt'), (['1', '⁄', '8', ' tsp'], ' ground black pepper'), ('4', 'large eggs, lightly beaten', ' ')]","{'Net-carbs': (' 2g ', '2%'), 'Protien': (' 37g ', '32%'), 'Fat': (' 35g ', '66%'), 'Fiber': '1g', 'Total-Carb': '3g'}","Preheat oven to 400°F (200°C). Grease a 9""x13"" (23x33 cm) baking dish with butter or oil, and line a plate with paper towels. Set aside.,Add diced bacon to a cold frying pan or skillet. Place over medium heat, and cook for 10 minutes or until crispy, stirring occasionally. Using a slotted spoon, transfer the bacon to the paper towels, and reserve the bacon fat in the pan.,Sautée the spinach in the bacon fat for one minute, or until slightly wilted. Remove from heat.,In a medium-sized bowl, mix together the eggs, bacon, spinach (with bacon grease from the pan) chives, salt, and pepper.,Pour egg mixture into the baking dish(es) and bake on the middle oven rack for 10-15 minutes, or until lightly browned, and set.,Cool for a few minutes, slice and serve.",20 m,Medium,https://www.dietdoctor.com/recipes/keto-baked-bacon-omelet
21,Keto egg and bacon casserole,Lunch,Dairy-Free,2.0,High-protein Ketogenic, 482kcal,US,2,"[(['5 oz.'], ' bacon, diced, room temperature'), (['2 oz. ', '(2 cups)'], ' fresh spinach'), (['4'], 'large eggs, lightly beaten'), (['1 tbsp'], ' finely chopped, fresh chives (optional)'), (['¼ tsp'], ' salt'), (['1', '⁄', '8', ' tsp'], ' ground black pepper'), ('4', 'large eggs, lightly beaten', ' ')]","{'Net-carbs': (' 2g ', '2%'), 'Protien': (' 37g ', '32%'), 'Fat': (' 35g ', '66%'), 'Fiber': '1g', 'Total-Carb': '3g'}","Preheat oven to 400°F (200°C). Grease a 9""x13"" (23x33 cm) baking dish with butter or oil, and line a plate with paper towels. Set aside.,Add diced bacon to a cold frying pan or skillet. Place over medium heat, and cook for 10 minutes or until crispy, stirring occasionally. Using a slotted spoon, transfer the bacon to the paper towels, and reserve the bacon fat in the pan.,Sautée the spinach in the bacon fat for one minute, or until slightly wilted. Remove from heat.,In a medium-sized bowl, mix together the eggs, bacon, spinach (with bacon grease from the pan) chives, salt, and pepper.,Pour egg mixture into the baking dish(es) and bake on the middle oven rack for 10-15 minutes, or until lightly browned, and set.,Cool for a few minutes, slice and serve.",20 m,Medium,https://www.dietdoctor.com/recipes/keto-baked-bacon-omelet
22,Keto egg and bacon casserole,Lunch,High-Protien,2.0,High-protein Ketogenic, 482kcal,US,2,"[(['5 oz.'], ' bacon, diced, room temperature'), (['2 oz. ', '(2 cups)'], ' fresh spinach'), (['4'], 'large eggs, lightly beaten'), (['1 tbsp'], ' finely chopped, fresh chives (optional)'), (['¼ tsp'], ' salt'), (['1', '⁄', '8', ' tsp'], ' ground black pepper'), ('4', 'large eggs, lightly beaten', ' ')]","{'Net-carbs': (' 2g ', '2%'), 'Protien': (' 37g ', '32%'), 'Fat': (' 35g ', '66%'), 'Fiber': '1g', 'Total-Carb': '3g'}","Preheat oven to 400°F (200°C). Grease a 9""x13"" (23x33 cm) baking dish with butter or oil, and line a plate with paper towels. Set aside.,Add diced bacon to a cold frying pan or skillet. Place over medium heat, and cook for 10 minutes or until crispy, stirring occasionally. Using a slotted spoon, transfer the bacon to the paper towels, and reserve the bacon fat in the pan.,Sautée the spinach in the bacon fat for one minute, or until slightly wilted. Remove from heat.,In a medium-sized bowl, mix together the eggs, bacon, spinach (with bacon grease from the pan) chives, salt, and pepper.,Pour egg mixture into the baking dish(es) and bake on the middle oven rack for 10-15 minutes, or until lightly browned, and set.,Cool for a few minutes, slice and serve.",20 m,Medium,https://www.dietdoctor.com/recipes/keto-baked-bacon-omelet
23,Keto egg and bacon casserole,Dinner,Dairy-Free,2.0,High-protein Ketogenic, 482kcal,US,2,"[(['5 oz.'], ' bacon, diced, room temperature'), (['2 oz. ', '(2 cups)'], ' fresh spinach'), (['4'], 'large eggs, lightly beaten'), (['1 tbsp'], ' finely chopped, fresh chives (optional)'), (['¼ tsp'], ' salt'), (['1', '⁄', '8', ' tsp'], ' ground black pepper'), ('4', 'large eggs, lightly beaten', ' ')]","{'Net-carbs': (' 2g ', '2%'), 'Protien': (' 37g ', '32%'), 'Fat': (' 35g ', '66%'), 'Fiber': '1g', 'Total-Carb': '3g'}","Preheat oven to 400°F (200°C). Grease a 9""x13"" (23x33 cm) baking dish with butter or oil, and line a plate with paper towels. Set aside.,Add diced bacon to a cold frying pan or skillet. Place over medium heat, and cook for 10 minutes or until crispy, stirring occasionally. Using a slotted spoon, transfer the bacon to the paper towels, and reserve the bacon fat in the pan.,Sautée the spinach in the bacon fat for one minute, or until slightly wilted. Remove from heat.,In a medium-sized bowl, mix together the eggs, bacon, spinach (with bacon grease from the pan) chives, salt, and pepper.,Pour egg mixture into the baking dish(es) and bake on the middle oven rack for 10-15 minutes, or until lightly browned, and set.,Cool for a few minutes, slice and serve.",20 m,Medium,https://www.dietdoctor.com/recipes/keto-baked-bacon-omelet
24,Keto egg and bacon casserole,Dinner,High-Protien,2.0,High-protein Ketogenic, 482kcal,US,2,"[(['5 oz.'], ' bacon, diced, room temperature'), (['2 oz. ', '(2 cups)'], ' fresh spinach'), (['4'], 'large eggs, lightly beaten'), (['1 tbsp'], ' finely chopped, fresh chives (optional)'), (['¼ tsp'], ' salt'), (['1', '⁄', '8', ' tsp'], ' ground black pepper'), ('4', 'large eggs, lightly beaten', ' ')]","{'Net-carbs': (' 2g ', '2%'), 'Protien': (' 37g ', '32%'), 'Fat': (' 35g ', '66%'), 'Fiber': '1g', 'Total-Carb': '3g'}","Preheat oven to 400°F (200°C). Grease a 9""x13"" (23x33 cm) baking dish with butter or oil, and line a plate with paper towels. Set aside.,Add diced bacon to a cold frying pan or skillet. Place over medium heat, and cook for 10 minutes or until crispy, stirring occasionally. Using a slotted spoon, transfer the bacon to the paper towels, and reserve the bacon fat in the pan.,Sautée the spinach in the bacon fat for one minute, or until slightly wilted. Remove from heat.,In a medium-sized bowl, mix together the eggs, bacon, spinach (with bacon grease from the pan) chives, salt, and pepper.,Pour egg mixture into the baking dish(es) and bake on the middle oven rack for 10-15 minutes, or until lightly browned, and set.,Cool for a few minutes, slice and serve.",20 m,Medium,https://www.dietdoctor.com/recipes/keto-baked-bacon-omelet
25,Low carb granola with cardamom and vanilla,Breakfast,Dairy-Free,13.0,Moderate low carb, 554kcal,US,4,"[(['2½ oz. ', '(½ cup)'], ' almonds'), (['1½ oz. ', '(5 tbsp)'], ' hazelnuts'), (['½ cup ', '(2 oz.)'], 'almond flour'), (['1 oz. ', '(5', '1', '⁄', '3', ' tbsp)'], ' roasted unsweetened coconut chips'), (['1 oz. ', '(3 tbsp)'], ' sesame seeds'), (['1 oz. ', '(3', '1', '⁄', '3', ' tbsp)'], ' sunflower seeds'), (['1½ oz. ', '(5', '1', '⁄', '3', ' tbsp)'], ' pumpkin seeds'), (['2 tsp'], ' ground cardamom (green)'), (['1 tsp'], ' vanilla extract'), (['1 tbsp'], ' coconut oil'), (['¼ cup'], ' water'), (['2 cups ', '(13 oz.)'], ' Greek yogurt (4% fat) or coconut yoghurt'), (['2 oz. ', '(7', '1', '⁄', '3', ' tbsp)'], ' fresh raspberries')]","{'Net-carbs': (' 13g ', '9%'), 'Protien': (' 23g ', '16%'), 'Fat': (' 46g ', '74%'), 'Fiber': '9g', 'Total-Carb': '22g'}","Preheat the oven to 300°F (150°C).,Roughly chop the almonds and hazelnuts.,Mix all the dry ingredients in a bowl.,Melt the coconut oil. Pour the water and vanilla extract into it and stir. Add the dry ingredients and mix thoroughly.,Distribute the mixture evenly onto a baking sheet lined with parchment paper. Heat in the oven for about 30 minutes.,Stir the mixture approximately every ten minutes to ensure that the granola doesn't burn. Monitor closely during the last 5 minutes and remove sooner from the oven, if necessary.,Store the granola in a jar.,Serve with full-fat yogurt, or cream, and berries.",40 m,Easy,https://www.dietdoctor.com/recipes/low-carb-granola-with-yoghurt-and-raspberries
